Owner,total_capacity,number_of_plants,number_of_countries
Kroman Celik Sanayii AS,1400.0,1,1
Southern Steel Bhd,1400.0,1,1
Lech Stahlwerke GmbH,1400.0,1,1
Kaptan Demir Celik Endustrisi Ve Ticaret AŞ,1400.0,1,1
Hebei Xinghua Iron and Steel Co Ltd,1400.0,1,1
ESF Elbe-Stahlwerke Feralpi GmbH,1400.0,1,1
Guangxi Guigang Iron and Steel Group Co Ltd,1400.0,2,1
Abul Khair Steel Ltd,1400.0,1,1
Hadeed Metal Manufacturing Co,1400.0,1,1
Stomana Industry AD,1400.0,1,1
Khorasan Steel Complex Co,1400.0,1,1
Lvliang Jianlong Industrial Co Ltd,1400.0,1,1
Vyksunskiy Metallurgicheskiy Zavod AO,1400.0,1,1
Riva Acciaio SpA,1380.0,2,1
Rungta Mines Ltd,1374.52,5,1
Nippon Steel Stainless Steel Corp,1366.0,2,1
Fujian Yixin Steel & Iron Co Ltd,1360.0,1,1
Tata Steel (Thailand) PCL,1350.0,2,1
Wulanhot Iron & Steel Co Ltd,1350.0,1,1
Sovel SA,1350.0,1,1
Tongling Fuxin Iron & Steel Co Ltd,1350.0,1,1
Jiangsu Delong Nickel Industry Co Ltd,1350.0,1,1
Inner Mongolia Desheng Metal Products Co Ltd,1350.0,1,1
Hebei Huaxin Special Steel Co Ltd,1350.0,1,1
Guizhou Ganglian Industrial Group Co Ltd,1325.0,1,1
Interpipe Ltd,1320.0,1,1
AG Siderurgica Balboa SA,1300.0,1,1
Yesilyurt Demir Celik Endustri Ve Liman Isletmeleri AŞ,1300.0,1,1
Hengyang Valin Steel Tube Co Ltd,1300.0,1,1
Diler Demir Celik Endustri ve Ticaret AŞ,1300.0,1,1
ArcelorMittal Duisburg GmbH,1300.0,1,1
Siderurgica Sevillana SA,1300.0,1,1
Sulb Company BSCC,1265.0,1,1
Mass Iraq Iron and Steel Industry Co,1250.0,1,1
MZ Balakovo JSC,1250.0,1,1
Corporacion Aceros Arequipa SA,1250.0,1,1
Ekinciler Demir ve Celik Sanayi AŞ,1250.0,1,1
Acciaierie di Verona SpA,1250.0,1,1
Tubos de Acero de Mexico SA,1230.0,1,1
Feralpi Siderurgica SpA,1216.0,1,1
Fujian Longgang New Materials Co Ltd,1210.0,1,1
Charter Manufacturing Co Inc,1205.0,2,1
SeAH Changwon Integrated Special Steel Corp,1200.0,1,1
SeAh Steel Holdings Corp,1200.0,1,1
Hubei Xinxin Steel Group Co Ltd; natural person(s),1200.0,1,1
Huahong Iron and Steel Products Co Ltd,1200.0,1,1
Hebei YongYang Special Steel Group Co Ltd,1200.0,1,1
Shaanxi Huaxin Special Steel Group Co Ltd,1200.0,2,1
Guilin Pinggang Iron and Steel Co Ltd,1200.0,1,1
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,1200.0,1,1
Ege Celik Endustrisi Sanayi ve Ticaret AŞ,1200.0,1,1
Egyptian American Steel Rolling Company SAE,1200.0,1,1
Egyptian Steel Group,1200.0,2,1
Moon Iron and Steel Company SAOC,1200.0,1,1
Acerinox Europa SAU,1200.0,1,1
Zhejiang Wantai Special Steel Co Ltd,1200.0,1,1
Tata Steel Long Products Ltd,1200.0,1,1
Celsa France SAS,1200.0,1,1
GFG Alliance Ltd,1200.0,1,1
Univers Acier,1200.0,1,1
Vina One Steel Manufacturing Corp,1200.0,1,1
Sirjan Jahan Steel Co,1200.0,1,1
Solb Steel Co,1200.0,1,1
Ezhou Hongtai Steel Co Ltd,1200.0,1,1
Chadormalu Mining & Industrial Co,1200.0,1,1
Jayaswal Neco Industries Ltd,1200.0,1,1
Bafgh Mineral Complex Iron & Steel Co,1200.0,1,1
Ozkan Demir Celik Sanayi AŞ,1200.0,1,1
United Steel Industries Co KSCC,1200.0,1,1
Anyang Huixin Special Steel Co Ltd,1200.0,1,1
Nucor Steel Tuscaloosa Inc,1200.0,1,1
Maghreb Steel SA,1200.0,1,1
Mesco Kalinga Steel Ltd,1200.0,1,1
AFV Acciaierie Beltrame SpA,1200.0,1,1
Prakash Industries Ltd,1190.0,1,1
Amurstal LLC,1150.0,1,1
Zunyi County Fuxin Iron & Steel Product Co Ltd,1150.0,1,1
Guangxi Hezhou Kexinda Metal Products Co Ltd,1150.0,1,1
Daye Huaxin Industrial Co Ltd,1150.0,1,1
Hejin Huaxinyuan Steel & Iron Co Ltd,1150.0,1,1
Xinjiang Minxin Iron and Steel (Group) Minhang Special Steel Co Ltd,1110.0,1,1
